ins_date,ytd_expenses,office,termination_date,cash_balance,committe_name,registration_date,candidate_name,ytd_revenues,district_num,location
2018-02-03,$0.00,Park Board,01/15/2014,$0.00,Luce for Park and Rec,07/24/2013,"Luce, David",$0.00,2,Minneapolis
2018-02-03,$0.00,Mayor,02/19/2016,$0.00,Lunde for Mayor,08/20/2014,"Lunde, Jeffrey",$0.00,,Brooklyn Park
2018-02-03,$333.85,Council Member,,$368.16,Bruce for City Council,08/08/2017,"Lundeen, Bruce",$702.01,10,Minneapolis
2018-02-03,$0.00,School Board,01/11/2015,$92.14,Richard Mammen for Schools,02/16/2010,"Mammen, Richard",$0.00,At Large,Minneapolis
2018-02-03,$0.00,School Board,01/26/2016,$0.00,Mann for School Board,07/06/2012,"Mann, Doug",$0.00,At Large,Minneapolis
2018-02-03,$0.00,Mayor,02/11/2014,$0.00,Mann for Mayor,06/03/2013,"Mann, Doug",$0.00,,Minneapolis
2018-02-03,$0.00,Mayor,08/25/2015,$0.00,Joy for Brooklyn Park,01/28/2014,"Marsh Stephens, Joy",$0.00,,Brooklyn Park
2018-02-03,$0.00,Commissioner,01/30/2015,$0.00,Joy for District 1,06/12/2012,"Marsh Stephens, Joy",$0.00,1,Hennepin County
2018-02-03,"$2,591.14",Council Member,,$248.98,Patrick Martin for Bloomington,02/27/2017,"Martin, Patrick","$2,840.12",4,Bloomington
2018-02-03,$0.00,Council Member,01/30/2017,$0.00,Mark Mata for Council,06/13/2016,"Mata, Mark",$0.00,Central,Brooklyn Park
2018-02-03,"$22,102.59",Council Member,,"$8,854.10",Neighbors for Erica Mauter,12/16/2016,"Mauter, Erica","$25,518.69",11,Minneapolis
2018-02-03,$0.00,Commissioner,02/04/2015,$31.08,Anne Mavity Volunteer Committee,12/06/2013,"Mavity, Anne",$0.00,3,Hennepin County
2018-02-03,$0.00,Council Member,,$221.22,McClellan For Bloomington,06/02/2015,"McClellan, Johnathon",$0.00,1,Bloomington
2018-02-03,$0.00,Council Member,03/06/2012,$28.46,Neighbors for Kevin McDonald,04/11/2005,"McDonald, Kevin",$0.00,12,Minneapolis
2018-02-03,$0.00,Mayor,,$568.38,Mclaughlin for Mayor,12/23/2004,"Mclaughlin, Peter",$0.00,,Minneapolis
2018-02-03,"$3,420.30",Commissioner,,"$23,495.71",Friends of Peter Mclaughlin,02/27/1990,"McLaughlin, Peter","$4,516.98",4,Hennepin County
2018-02-03,$0.00,Park Board,02/18/2015,$34.09,Marylynn for Park Board,09/10/2013,"McPherson, Marylynn",$0.00,At Large,Minneapolis
2018-02-03,"$13,568.31",Park Board,,$406.83,Menz 4 Park Board,06/26/2017,"Menz, Billly","$13,975.14",1,Minneapolis
2018-02-03,"$10,615.54",Park Board,,"$1,719.46",Meyer for Parks,03/22/2017,"Meyer, Christopher","$12,335.00",1,Minneapolis
2018-02-03,$0.00,Mayor,,"$1,340.00",Bob Miller for Mayor,11/12/2008,"Miller, Bob",$0.00,,Minneapolis
2018-02-03,$0.00,School Board,10/01/2014,$0.00,Andrew Minck for Minneapolis Public Schools,04/01/2014,"Minck, Andrew",$0.00,At Large,Minneapolis
2018-02-03,"$20,409.31",Park Board,,"$1,083.19",Gurhan for Parks,11/30/2016,"Mohamed, Abdi ""Gurhan""","$11,460.00",3,Minneapolis
2018-02-03,$0.00,Commissioner,01/31/2018,$44.00,Andrew K Moller Election Committee,06/09/2016,"Moller, Andrew",$0.00,5,Hennepin County
2018-02-03,$0.00,School Board,01/28/2016,$0.86,Alberto Monserrate for Minneapolis School Board,03/04/2010,"Monserrate, Alberto",$0.00,5,Minneapolis
2018-02-03,$0.00,Council Member,,$66.28,Ty Moore for City Council,02/20/2013,"Moore, Ty",$0.00,9,Minneapolis
2018-02-03,$0.00,School Board,08/05/2014,$39.77,Campaign Fund for Luis Morales,02/12/2014,"Morales, Luis",$0.00,5,Minneapolis
2018-02-03,$0.00,Commissioner,01/23/2014,$39.91,Volunteers of Kathleen Murdock,07/02/2002,"Murdock, Kathleen",$0.00,2,Hennepin County
2018-02-03,"$6,864.59",Park Board,,"$1,834.67",Musich for Parks,01/03/2013,"Musich, Steffanie","$6,858.48",5,Minneapolis
2018-02-03,$0.00,Park Board,01/31/2017,$0.00,Neiman for Parks,04/26/2013,"Neiman, Joshua",$0.00,6,Minneapolis
2018-02-03,"$7,625.90",Council Member,,$104.80,Nelson for Bloomington,06/09/2017,"Nelson, Shawn","$7,730.70",2,Bloomington
2018-02-03,"$33,811.67",Council Member,,"$6,445.93",Noor for Ward 6,01/31/2017,"Noor, Mohamud","$40,257.60",6,Minneapolis
2018-02-03,$0.00,Park Board,,$0.00,Nordyke for Minneapolis Parks Committee,04/21/2005,"Nordyke, Tom",$0.00,At large,Minneapolis
2018-02-03,"$15,174.98",Park Board,,$0.56,Nordyke for Minneapolis Parks,09/13/2017,"Nordyke, Tom","$15,174.98",4,Minneapolis
2018-02-03,$0.00,Commissioner,03/04/2013,$0.00,Committee to Elect Mary O'Connor,05/24/2010,"O'Connor, Mary",$0.00,1,Hennepin County
2018-02-03,$0.00,Commissioner,01/24/2017,$46.00,Campaign to Elect Mary O'Connor,06/22/2016,"O'Connor, Mary",$0.00,1,Hennepin County
2018-02-03,"$5,485.16",Council Member,01/05/2018,$0.00,Oleson for IV Principal Campaign Committee,07/16/2013,"Oleson, Jon","$5,460.12",4,Bloomington
2018-02-03,"$5,050.38",Park Board,01/29/2018,$0.00,Jon Olson Volunteer Committee Dist 2,07/03/2001,"Olson, Jon Christopher","$4,796.61",2,Minneapolis
2018-02-03,"$10,050.83",Commissioner,,"$7,897.60",Mike Opat Volunteer Committee,12/19/1991,"Opat, Michael J.",$500.79,1,Hennepin County
2018-02-03,"$51,138.54",Council Member,,"$28,041.03",Neighbors for Linea,01/07/2013,"Palmisano, Linea","$38,816.00",13,Minneapolis
2018-02-03,$0.00,Council Member,,$14.94,Troy Parker for 4th Ward City Council,02/19/2009,"Parker, Troy",$0.00,4,Minneapolis
2018-02-03,$0.00,Council Member,,$49.75,Terry Parks for City Council,05/30/2014,"Parks, Terry",$0.00,East,Brooklyn Park
2018-02-03,$0.00,Estimate & Tax Board,11/12/2013,$79.37,Committee to Elect David Pascoe to the Bd of Est & Tax,08/02/2013,"Pascoe, David",$0.00,,Minneapolis
2018-02-03,$0.00,School Board,,$0.00,Josh Pauly for Minneapolis School Board,01/24/2018,"Pauly, Josh",$0.00,At large,Minneapolis
2018-02-03,$419.62,Council Member,01/25/2018,$0.00,Peer for City Council,08/08/2013,"Peer, Steve",$0.00,3,Bloomington
2018-02-03,$0.00,Commissioner,01/30/2014,$-47.28,Paula Pentel Volunteer Committee,03/28/2012,"Pentel, Paula",$0.00,2,Hennepin County
2018-02-03,$683.41,Council Member,,$0.00,Neighbors for Perry,12/07/2012,"Perry, Matt",$550.00,13,Minneapolis
2018-02-03,"$49,249.58",Council Member,,"$12,417.02",Neighbors for Jillia,11/30/2016,"Pessenda, Jillia","$52,908.75",1,Minneapolis
2018-02-03,$0.00,Three Rivers Park District,01/08/2013,$0.00,Peters for Parks,12/10/2010,"Peters, Joan E.",$0.00,3,Hennepin County
2018-02-03,$0.00,Council Member,03/20/2013,$-579.24,Maureen Peterson for Bloomington City Council,09/04/2003,"Peterson, Maureen",$0.00,At Large,Bloomington
2018-02-03,$0.00,Council Member,06/19/2013,$0.00,Peterson Volunteer Committee,12/04/1998,"Peterson, Steve",$0.00,1,Bloomington
2018-02-03,$278.67,Council Member,06/29/2017,$0.00,Susan Pha for City Council,03/09/2016,"Pha, Susan",$0.00,West,Brooklyn Park
2018-02-03,$0.00,School Board,01/17/2017,$0.00,Alex Phung for School Board,01/26/2012,"Phung, Alex",$0.00,6,Minneapolis
2018-02-03,"$22,701.80",Council Member,,$-413.80,Cordelia Pierson for City Council,01/06/2017,"Pierson, Cordelia","$22,288.00",3,Minneapolis
2018-02-03,$0.00,Mayor,,$0.00,L.A. Nik for Mayor,03/03/2017,"Pilotta, Nick",$0.00,,Minneapolis
2018-02-03,"$30,553.48",Council Member,,"$8,856.52",Campaign to Elect Samantha Pree-Stinson,02/23/2017,"Pree-Stinson, Samantha","$39,410.00",3,Minneapolis
2018-02-03,"$79,055.92",Council Member,01/31/2018,$59.99,Neighbors for John Quincy,12/31/2008,"Quincy, John","$56,106.17",11,Minneapolis
2018-02-03,"$9,775.25",Mayor,,"$3,849.75",Aswar for Mayor,02/14/2017,"Rahman, Aswar","$13,625.00",,Minneapolis
2018-02-03,$0.00,Commissioner,01/30/2013,$0.00,Chris Rains for Commissioner,06/19/2012,"Rains, Chris",$0.00,1,Hennepin County
2018-02-03,$11.26,Commissioner,,"$1,469.74",LaDonna Redmond for Hennipen County,12/26/2017,"Redmond, LaDonna","$1,481.00",3,Hennepin County
2018-02-03,"$97,261.08",Council Member,,"$19,438.94",Reich for Ward 1,01/14/2009,"Reich, Kevin","$89,987.00",1,Minneapolis
2018-02-03,$0.00,Commissioner,,$36.13,Elect Reichert,06/17/2016,"Reichert, William",$0.00,5,Hennepin County
2018-02-03,$0.00,Council Member,02/18/2015,$0.00,William Reichert for Bloomington City Council,08/06/2013,"Reichert, William",$0.00,3,Bloomington
2018-02-03,$0.00,School Board,,"$2,857.15",Josh Remnitz for Minneapolis School Board,05/31/2012,"Remnitz, Josh",$33.14,4,Minneapolis
2018-02-03,$0.00,Council Member,01/30/2014,$47.81,Elect Bob Reuer,10/22/2013,"Reuer, Bob",$0.00,13,Minneapolis
2018-02-03,"$5,243.29",Council Member,,$0.00,Bob Reuer for City Council,10/27/2017,"Reuer, Bob","$5,243.29",13,Minneapolis
2018-02-03,"$6,840.38",Council Member,,$446.62,Saralyn Romanishan for Ward 10,06/23/2017,"Romanishan, Saralyn","$7,287.00",10,Minneapolis
2018-02-03,$450.76,Mayor,10/30/2017,$96.89,MN Socialist Workers Campaign 2017,04/25/2017,"Rosenfeld, David",$547.65,,Minneapolis
2018-02-03,$0.00,Mayor,07/23/2013,$0.00,RT for Mayor Committee,12/13/2000,"Rybak, Rt",$0.00,,Minneapolis
2018-02-03,$0.00,School Board,02/06/2014,$0.00,Samatar for School Board,02/11/2010,"Samatar, Hussein",$0.00,3,Minneapolis
2018-02-03,$0.00,Commissioner,08/08/2012,$100.00,Samuels for County Commissioner,03/13/2012,"Samuels, Don",$0.00,2,Hennepin County
2018-02-03,$0.00,Mayor,04/27/2017,$-19.98,Samuels for Mayor,12/28/2012,"Samuels, Don",$0.00,,Minneapolis
2018-02-03,$0.00,School Board,,"$1,246.09",Samuels for School Board,07/03/2014,"Samuels, Don",$0.00,At Large,Minneapolis
2018-02-03,$0.00,Council Member,,"$4,061.84",Samuels for Council,12/12/2002,"Samuels, Donald",$0.00,5,Minneapolis
2018-02-03,$0.00,Mayor,01/24/2014,$100.00,Ole Savior Mayor Mpls Republican 2013,08/12/2013,"Savior, Ole",$0.00,,Minneapolis
2018-02-03,$0.00,Library Board,01/15/2016,$21.65,Laurie Savran for Library Board Campaign,01/11/2001,"Savran, Laurie",$0.00,,Minneapolis
2018-02-03,$0.00,Mayor,,$23.63,Belton for Mayor,02/10/2000,"Sayles Belton, Sharon",$0.00,,Minneapolis
2018-02-03,$0.00,Commissioner,01/31/2017,$0.00,Friends of Maureen for County Board,06/02/2016,"Scallen Failor, Maureen",$0.00,5,Hennepin County
2018-02-03,"$71,818.77",Council Member,,"$-1,270.77",Neighbors for Gary Schiff,02/18/2000,"Schiff, Gary","$70,545.00",9,Minneapolis
2018-02-03,$0.00,Mayor,,"$27,107.23",Gary Schiff for Mayor,12/12/2012,"Schiff, Gary",$0.00,,Minneapolis
2018-02-03,$0.00,Council Member,01/28/2014,$33.73,Upright Citizens League,08/21/2013,"Schlosser, Robert",$0.00,11,Minneapolis
2018-02-03,$87.00,Park Board,12/04/2017,$0.00,Upright Citezens League,08/15/2017,"Schlosser, Robert",$87.00,6,Minneapolis
2018-02-03,$0.00,Council Member,01/16/2015,$0.00,Schmidt for City Council,09/05/2014,"Schmidt, Steve",$0.00,Central,Brooklyn Park
2018-02-03,$341.44,Council Member,,"$2,304.56",Schorn for Ward 10,06/26/2017,"Schorn, David","$2,646.00",10,Minneapolis
2018-02-03,"$15,478.44",Council Member,,"$6,214.85",Jeremy for Minneapolis,10/05/2016,"Schroeder, Jeremy","$18,213.00",11,Minneapolis
2018-02-03,$0.00,Commissioner,06/12/2014,$52.45,Ben Schweigert for Hennepin,11/25/2013,"Schweigert, Ben",$0.00,3,Hennepin County
2018-02-03,$0.00,Park Board,,$561.46,Traci Scott Volunteer Committee,06/25/2001,"Scott, Traci",$0.00,At large,Minneapolis
2018-02-03,"$13,226.30",Park Board,,"$2,854.08",Vote Kale,05/03/2013,"Severson, Kale","$15,503.27",2,Minneapolis
2018-02-03,"$8,075.46",Park Board,,"$-1,930.21",Bill for Minneapolis Parks,06/06/2017,"Shroyer, Bill","$6,145.25",5,Minneapolis
2018-02-03,$0.00,Three Rivers Park District,01/26/2016,$0.00,John P Skavnak Campaign Committee,05/30/2014,"Skavnak, John",$0.00,2,Hennepin County
2018-02-03,$0.00,School Board,,$76.54,Chanda Smith Baker for Public Schools,03/18/2010,"Smith  Baker, Chanda",$0.00,At large,Minneapolis
2018-02-03,$0.00,Commissioner,,$36.37,Smithrud for Commissioner,07/09/2010,"Smithrud, Roger",$0.00,2,Hennepin County
2018-02-03,$0.00,Council Member,,$0.00,Smithrud for Ward 5,11/02/2009,"Smithrud, Roger",$0.00,5,Minneapolis
2018-02-03,$0.00,School Board,10/17/2014,$0.52,Soren Sorensen  for Minneapolis School Board,06/13/2014,"Sorensen, Soren",$0.00,At Large,Minneapolis
2018-02-03,"$3,775.80",Council Member,,$-10.00,Spann for Ward 5,04/13/2017,"Spann, Cathy","$3,765.80",5,Minneapolis
2018-02-03,$679.94,Mayor,01/31/2018,$0.00,Captain Jack Sparrow Campaign Committee,03/28/2017,"Sparrow, Captain Jack",$679.94,,Minneapolis
2018-02-03,$0.00,Commissioner,02/25/2016,$0.00,Captain Jack Sparrow Campaign Committee,09/02/2014,"Sparrow, Captain Jack",$0.00,4,Hennepin County
2018-02-03,"$11,040.33",Council Member,,$88.89,Eldon Spencer for Council,07/05/2017,"Spencer, Eldon","$11,129.22",2,Bloomington
2018-02-03,$0.00,Council Member,02/23/2015,$0.00,Springer for One and All,11/04/2013,"Springer, Tim",$0.00,9,Minneapolis
2018-02-03,"$33,957.47",Sheriff,,"$115,923.78",Sheriff Stanek Volunteer Committee,11/01/2005,"Stanek, Richard W","$56,198.00",,Hennepin County
2018-02-03,$0.00,Council Member,02/04/2015,$0.00,Neighbors for Matt Steele,09/04/2013,"Steele, Matt",$0.00,11,Minneapolis
2018-02-03,$0.00,Three Rivers Park District,,$803.08,Steele for Parks Committee,07/12/2012,"Steele, Penny",$0.00,1,Hennepin County
2018-02-03,$0.00,Council Member,02/04/2015,$2.95,Jerry Stein for City Council,11/29/2004,"Stein, Jerry",$0.00,2,Minneapolis
2018-02-03,$0.00,Commissioner,01/31/2013,$92.57,Mark Stenglein Volunteer Committee,03/21/1996,"Stenglein, Mark",$0.00,2,Hennepin County
2018-02-03,$0.00,Commissioner,,$0.00,Friends of Mark Stenglein,01/24/2018,"Stenglein, Mark",$0.00,2,Hennepin County
2018-02-03,$0.00,Park Board,02/03/2014,$0.00,Jason for Minneapolis Parks,09/03/2013,"Stone, Jason",$0.00,At Large,Minneapolis
2018-02-03,$0.00,Mayor,12/30/2013,$0.00,"James ""Jimmy' L. Stroud Jr for Mayor",09/19/2013,"Stroud, James",$0.00,,Minneapolis
2018-02-03,$590.00,Park Board,01/17/2018,$0.00,Bob Sullentrop for Park Board,08/28/2017,"Sullentrop, Bob",$590.00,At large,Minneapolis
2018-02-03,"$6,280.00",Park Board,12/05/2017,$8.33,Neighbors for Anita,03/03/2009,"Tabb, Anita",$0.00,4,Minneapolis
2018-02-03,"$14,521.98",Park Board,,$843.76,Tate for Parks,02/01/2017,"Tate, Michael","$15,365.74",2,Minneapolis
2018-02-03,$0.00,Three Rivers Park District,01/15/2013,$0.00,Theisen for Three Rivers Park Bd,10/04/2012,"Theisen, Rick",$0.00,2,Hennepin County
2018-02-03,$0.00,Mayor,09/03/2013,$11.02,Jim Thomas for Mayor of Minneapolis,03/29/2013,"Thomas, Jim",$0.00,,Minneapolis
2018-02-03,$0.00,Estimate & Tax Board,02/13/2015,$1.93,Dewayne4bet,03/27/2009,"Townsend, Dewayne",$0.00,,Minneapolis
2018-02-03,$0.00,Council Member,01/16/2013,$0.00,Trepanier for City Council,05/29/2012,"Trepanier, Michael",$0.00,Central,Brooklyn Park
2018-02-03,$0.00,Council Member,02/08/2017,$0.00,David True for Council Member West,06/02/2016,"True, David",$0.00,West,Brooklyn Park
2018-02-03,$0.00,Council Member,01/31/2015,$0.00,Tuthill for 10th Ward,11/12/2008,"Tuthill, Meg",$0.00,10,Minneapolis
2018-02-03,$0.00,Council Member,,$262.76,Citizens for Jose Velez,01/14/2009,"Velez, Jose",$0.00,1,Minneapolis
2018-02-03,"$19,433.38",Park Board,,"$1,012.62",Latrisha Vetaw for Parks,08/14/2017,"Vetaw, Latrisha","$20,446.00",At large,Minneapolis
2018-02-03,$977.19,Council Member,,$97.34,Kim for Bloomington,07/06/2009,"Vlaisavljevich, Kim","$1,073.53",At large,Bloomington
2018-02-03,"$1,447.09",Park Board,11/20/2017,$0.00,Neighbors for Scott Vreeland,12/28/2004,"Vreeland, Scott",$0.00,3,Minneapolis
2018-02-03,"$5,607.00",Park Board,11/20/2017,$0.00,Neighbors for Scott Vreeland for Park Board At-Large,03/14/2017,"Vreeland, Scott","$5,607.00",At large,Minneapolis
2018-02-03,$0.00,Mayor,03/05/2014,$0.00,Jeffrey Wagner for Mayor,10/17/2013,"Wagner, Jeffrey",$0.00,,Minneapolis
2018-02-03,$0.00,Commissioner,01/30/2013,$0.00,Dave for Commissioner,06/14/2012,"Wahlstedt, Dave",$0.00,6,Hennepin County
2018-02-03,$0.00,School Board,01/25/2017,$19.05,Bob Walser for MPS,02/23/2016,"Walser, Bob",$0.00,4,Minneapolis
2018-02-03,"$109,625.42",Council Member,,"$25,263.35",Warsame Volunteer Committee,01/03/2013,"Warsame, Abdi","$39,906.60",6,Minneapolis
2018-02-03,$0.00,Council Member,,$-28.03,Wefel for Ward 1 Campaign Committee,12/01/2016,"Wefel, Zachary",$0.00,1,Minneapolis
2018-02-03,$0.00,School Board,01/15/2013,$0.00,David Weingartner for School Board,02/29/2012,"Weingartner, David",$0.00,6,Minneapolis
2018-02-03,$100.00,Estimate & Tax Board,,$399.96,Volunteers for Wheeler,05/21/2009,"Wheeler, David",$250.00,,Minneapolis
2018-02-03,"$6,322.83",Council Member,01/12/2018,$1.17,Neighbors for Terry,04/06/2017,"White, Terry","$6,324.00",8,Minneapolis
2018-02-03,$0.00,Council Member,02/01/2016,$0.00,Jeremy for City Council,02/17/2005,"Wieland, Jeremy",$0.00,3,Minneapolis
2018-02-03,"$11,352.18",Park Board,11/01/2017,$7.50,Wielinski for Parks Volunteer Committee,11/26/2008,"Wielinski, Liz",$75.00,1,Minneapolis
2018-02-03,$0.00,Council Member,,$136.39,Wilcox for Council District 4,07/20/1993,"Wilcox, Vern",$0.00,4,Bloomington
2018-02-03,"$1,538.48",Council Member,,"$6,832.91",Raeisha Williams for Minneapolis  City Council Ward 5,09/08/2016,"Williams, Raeisha","$5,956.50",5,Minneapolis
2018-02-03,"$2,161.00",Mayor,01/30/2018,$0.00,David John Wilson for Magical Thinking,08/28/2017,"Wilson, David","$2,161.00",,Minneapolis
2018-02-03,$0.00,Mayor,02/01/2016,$41.68,John Wilson 4 Mayor,04/24/2013,"Wilson, John",$0.00,,Minneapolis
2018-02-03,$0.00,Mayor,,"$2,318.04",Winstead for Mayor,04/02/1999,"Winstead, Gene",$0.00,,Bloomington
2018-02-03,$0.00,Mayor,,$0.00,Hollies Winston for Brooklyn Park,12/04/2017,"Winston, Hollies",$0.00,,Brooklyn Park
2018-02-03,$0.00,Mayor,01/31/2014,$0.00,Winton for Mayor,01/10/2013,"Winton, Cam",$0.00,,Minneapolis
2018-02-03,$0.00,Three Rivers Park District,02/20/2013,$0.00,Woodbeck for Parks,07/31/2008,"Woodbeck, Dale",$0.00,4,Hennepin County
2018-02-03,$0.00,Mayor,01/31/2014,$0.00,Woodruff for Mayor,06/04/2013,"Woodruff, Stephanie",$0.00,,Minneapolis
2018-02-03,$519.25,Council Member,12/11/2017,$8.75,"Susan ""Hofmeister"" Woodruff",07/17/2017,"Woodruff, Susan",$528.00,At large,Bloomington
2018-02-03,$0.00,Mayor,03/19/2014,$0.00,Rahn V Workcuff for Mayor,09/10/2013,"Workcuff, Rahn",$0.00,,Minneapolis
2018-02-03,$0.00,Hennepin Conservation District,01/28/2016,$0.00,Rahn V Workcuff,07/16/2008,"Workcuff, Rahn V",$0.00,3,Hennepin County
2018-02-03,$0.00,Three Rivers Park District,11/14/2012,$0.00,Wyatt for Parks Volunteer Committee,09/17/2012,"Wyatt, Sara",$0.00,1,Hennepin County
2018-02-03,$0.00,School Board,02/03/2014,$0.00,Patty for School Board,07/09/2012,"Wycoff, Patty",$0.00,4,Minneapolis
2018-02-03,$0.00,Commissioner,02/01/2013,$0.00,Blong Yang for Commissioner HC D2,04/20/2012,"Yang, Blong",$0.00,2,Hennepin County
2018-02-03,"$49,092.95",Council Member,,"$27,134.77",Yang for City Council Campaign Committee,02/28/2013,"Yang, Blong","$52,444.90",5,Minneapolis
2018-02-03,$0.00,Park Board,02/24/2015,$0.00,Yonis for Park Board,08/23/2013,"Yonis, Hashim",$0.00,At Large,Minneapolis
2018-02-03,$0.00,Park Board,,$13.99,Young for Parks,02/28/2001,"Young, Annie",$0.00,At large,Minneapolis
2018-02-03,"$3,786.04",Council Member,,$0.00,Fadumo's Campaign Voice of Ward 6,03/01/2017,"Yusuf, Fadumo","$3,786.04",6,Minneapolis
2018-02-03,"$3,870.41",Council Member,,"$4,247.59",People of Minneapolis for Teqen,08/10/2017,"Zea-Aida, Teqen","$8,118.00",7,Minneapolis
2018-02-03,$208.00,Park Board,01/31/2018,$4.00,Jennifer Zielinski for Park Board District 6,08/29/2017,"Zielinski, Jennifer",$212.00,6,Minneapolis
2018-02-03,,,,,,,,,,
2018-02-03,,,,,,,,,,
2018-02-03,,,,,,,,,,
